URL	Stage	Gene	Territory	Territory_eq
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=15299	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	A9.13 cell pair	A9.13
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=15299	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	A9.13 cell pair	A9.13*
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=15299	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	A9.15 cell pair	A9.15
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=15299	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	A9.15 cell pair	A9.15*
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=15299	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	A9.29 cell pair	A9.29
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=15299	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	A9.29 cell pair	A9.29*
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=19633	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	a9.33 cell pair	a9.33
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=19633	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	a9.33 cell pair	a9.33*
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=19633	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	a9.37 cell pair	a9.37
https://www.aniseed.fr/aniseed/experiment/show_insitu_by_biomaterial?biomaterial_id=19633	Stage 12 (mid gastrula)	KH2012:KH.C1.274 (MYT1; MYT1L)	a9.37 cell pair	a9.37*
