KY2021,KH2012,KH2013,uniprot,fullname
KY21.Chr1.1,KH.L28.8,KH.L28.8,Q92913,Fibroblast growth factor 13 {ECO:0000305}
KY21.Chr1.10,KH.L60.14,KH.L60.14,Q16594,Transcription initiation factor TFIID subunit 9
KY21.Chr1.100,KH.L140.8,KH.L140.8,Q6NXP0,EF-hand calcium-binding domain-containing protein 12
KY21.Chr1.1000,KH.C1.544,KH.C1.544,Q99436,Proteasome subunit beta type-7 {ECO:0000305}
KY21.Chr1.1001,KH.C1.325,KH.C1.325,Q8N1G4,Leucine-rich repeat-containing protein 47
KY21.Chr1.1002,KH.C1.1086,KH.C1.1086,Q9BXT4,Tudor domain-containing protein 1
KY21.Chr1.1004,KH.C1.289,KH.C1.289,Q99543,DnaJ homolog subfamily C member 2
KY21.Chr1.1006,KH.C1.1187,KH.C1.1187,O60285,NUAK family SNF1-like kinase 1
KY21.Chr1.1008,KH.C1.938,KH.C1.938,P46063,"ATP-dependent DNA helicase Q1 {ECO:0000305|PubMed:7527136, ECO:0000305|PubMed:8056767}"
KY21.Chr1.1009,KH.C1.634,KH.C1.634,Q8NBK3,Formylglycine-generating enzyme {ECO:0000303|PubMed:12757705}
KY21.Chr1.101,KH.C1.150,KH.C1.150,P41227,N-alpha-acetyltransferase 10
KY21.Chr1.1010,KH.C1.1134,KH.C1.1134,O43903,Growth arrest-specific protein 2
KY21.Chr1.1011,KH.C1.726,KH.C1.726,Q92581,Sodium/hydrogen exchanger 6
KY21.Chr1.1012,KH.C1.247,KH.C1.247,Q96T58,Msx2-interacting protein
KY21.Chr1.1013,KH.C1.478,KH.C1.478,Q96T58,Msx2-interacting protein
KY21.Chr1.1014,KH.C1.1292,KH.C1.1292,Q9UIA9,Exportin-7
KY21.Chr1.1015,KH.C1.703,KH.C1.703,Q969G6,Riboflavin kinase {ECO:0000305|PubMed:19641494}
KY21.Chr1.1016,KH.C1.6,KH.C1.6,P36551,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial {ECO:0000305}"
KY21.Chr1.1017,KH.S1826.2,KH.S1826.2,O95544,NAD kinase
KY21.Chr1.1018,KH.S1826.1,KH.S1826.1,Q15018,BRISC complex subunit Abraxas 2 {ECO:0000312|HGNC:HGNC:28975}
KY21.Chr1.1019,KH.C1.708,KH.C1.708,O15355,Protein phosphatase 1G
KY21.Chr1.102,KH.C1.914,KH.C1.914,Q9UBS3,DnaJ homolog subfamily B member 9 {ECO:0000305}
KY21.Chr1.1020,KH.C1.192,KH.C1.192,Q9BQP7,Mitochondrial genome maintenance exonuclease 1 {ECO:0000255|HAMAP-Rule:MF_03030}
KY21.Chr1.1022,KH.C1.109,KH.C1.109,Q0P6D6,Coiled-coil domain-containing protein 15
KY21.Chr1.1023,KH.C1.672,KH.C1.672,Q99715,Collagen alpha-1(XII) chain
KY21.Chr1.1024,KH.C1.1054,KH.C1.1054,Q6P2H3,Centrosomal protein of 85 kDa
KY21.Chr1.1025,KH.C1.1193,KH.C1.1193,Q8N1N0,C-type lectin domain family 4 member F
KY21.Chr1.1026,KH.C1.393,KH.C1.393,Q7Z5Y6,Bone morphogenetic protein 8A
KY21.Chr1.1027,KH.C1.612,KH.C1.612,P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1
KY21.Chr1.1029,KH.C1.1213,KH.C1.1213,Q9P2Y5,UV radiation resistance-associated gene protein
KY21.Chr1.1031,KH.C1.854,KH.C1.854,Q9H2F5,Enhancer of polycomb homolog 1 {ECO:0000305}
KY21.Chr1.1033,KH.C1.1196,KH.C1.1196,Q9C091,GREB1-like protein
KY21.Chr1.1034,,,P56856,Claudin-18
