query	subject
KH.L28.8	KY21.Chr1.1
KH.L28.1	KY21.Chr1.2
KH.L28.2	KY21.Chr1.3
KH.L28.6	KY21.Chr1.4
KH.L28.5	KY21.Chr1.5
KH.L60.10	KY21.Chr1.5
KH.L60.7	KY21.Chr1.6
KH.L60.3	KY21.Chr1.7
KH.L60.9	KY21.Chr1.8
KH.L60.1	KY21.Chr1.9
KH.L60.14	KY21.Chr1.10
KH.L60.12	KY21.Chr1.11
KH.L60.4	KY21.Chr1.12
KH.L60.13	KY21.Chr1.14
KH.L60.15	KY21.Chr1.15
KH.L60.16	KY21.Chr1.17
KH.L60.5	KY21.Chr1.18
KH.L60.11	KY21.Chr1.19
KH.L60.2	KY21.Chr1.20
KH.C1.1066	KY21.Chr1.21
KH.C1.335	KY21.Chr1.23
KH.L124.4	KY21.Chr1.24
KH.C1.1214	KY21.Chr1.25
KH.C1.1039	KY21.Chr1.26
KH.C1.1256	KY21.Chr1.27
KH.C1.636	KY21.Chr1.28
KH.C1.159	KY21.Chr1.29
KH.C1.114	KY21.Chr1.32
KH.C1.1153	KY21.Chr1.33
KH.C1.1100	KY21.Chr1.34
KH.C1.996	KY21.Chr1.35
KH.C1.523	KY21.Chr1.36
KH.C1.1202	KY21.Chr1.37
KH.S1387.1	KY21.Chr1.37
KH.C1.568	KY21.Chr1.38
KH.C1.1156	KY21.Chr1.39
KH.C1.318	KY21.Chr1.40
KH.C1.608	KY21.Chr1.44
KH.C1.130	KY21.Chr1.45
KH.C1.631	KY21.Chr1.46
KH.C1.139	KY21.Chr1.47
KH.C1.1166	KY21.Chr1.48
KH.C1.1253	KY21.Chr1.49
KH.C1.1220	KY21.Chr1.60
KH.C1.1216	KY21.Chr1.61
KH.C1.869	KY21.Chr1.62
KH.C1.287	KY21.Chr1.63
KH.C1.1225	KY21.Chr1.65
KH.C1.78	KY21.Chr1.66
KH.S1223.1	KY21.Chr1.66
KH.C1.582	KY21.Chr1.67
KH.C1.1300	KY21.Chr1.71
KH.C1.593	KY21.Chr1.72
KH.C1.1197	KY21.Chr1.73
KH.C1.301	KY21.Chr1.74
KH.S2146.1	KY21.Chr1.74
KH.C1.329	KY21.Chr1.75
KH.C1.821	KY21.Chr1.76
KH.C1.897	KY21.Chr1.77
KH.C1.516	KY21.Chr1.78
KH.C1.230	KY21.Chr1.79
KH.C1.1011	KY21.Chr1.80
KH.C1.208	KY21.Chr1.81
KH.C1.1208	KY21.Chr1.82
KH.C1.269	KY21.Chr1.84
KH.C1.15	KY21.Chr1.85
KH.C1.344	KY21.Chr1.86
KH.C1.781	KY21.Chr1.87
KH.C1.997	KY21.Chr1.88
KH.C1.831	KY21.Chr1.89
KH.C1.110	KY21.Chr1.90
KH.C1.771	KY21.Chr1.91
KH.L140.2	KY21.Chr1.94
KH.L140.7	KY21.Chr1.95
KH.L140.6	KY21.Chr1.96
KH.S1966.1	KY21.Chr1.96
KH.L140.4	KY21.Chr1.97
KH.L140.5	KY21.Chr1.98
KH.L140.9	KY21.Chr1.99
KH.L140.8	KY21.Chr1.100
KH.C1.150	KY21.Chr1.101
KH.C1.914	KY21.Chr1.102
KH.C1.443	KY21.Chr1.104
KH.S1560.1	KY21.Chr1.105
KH.C1.1238	KY21.Chr1.107
KH.C1.841	KY21.Chr1.108
KH.C1.709	KY21.Chr1.109
KH.C1.165	KY21.Chr1.110
KH.C1.881	KY21.Chr1.113
KH.C1.403	KY21.Chr1.115
KH.C1.962	KY21.Chr1.116
KH.C1.655	KY21.Chr1.117
KH.S2345.1	KY21.Chr1.118
KH.L140.1	KY21.Chr1.120
KH.L140.10	KY21.Chr1.121
KH.L140.11	KY21.Chr1.122
KH.C1.969	KY21.Chr1.123
KH.C1.172	KY21.Chr1.124
KH.C1.183	KY21.Chr1.126
KH.C1.526	KY21.Chr1.129
KH.C1.1180	KY21.Chr1.130
KH.C1.907	KY21.Chr1.132
KH.C1.286	KY21.Chr1.133
KH.L144.3	KY21.Chr1.136
KH.L144.4	KY21.Chr1.137
KH.L144.5	KY21.Chr1.138
KH.L144.9	KY21.Chr1.140
KH.L144.7	KY21.Chr1.141
KH.L144.6	KY21.Chr1.142
KH.L144.2	KY21.Chr1.143
KH.L144.10	KY21.Chr1.144
KH.L144.12	KY21.Chr1.145
KH.L144.13	KY21.Chr1.145
KH.L144.14	KY21.Chr1.145
